Hour,N,AvgRet%,WinRate,T-stat,P-val,AvgRange%,Significant,Symbol
0,362,0.0046,0.481,0.86,0.39,0.1077,False,EURUSD
1,363,-0.0067,0.441,-1.81,0.071,0.1025,False,EURUSD
2,362,0.0048,0.47,1.32,0.187,0.0858,False,EURUSD
3,362,-0.0033,0.42,-1.05,0.296,0.0773,False,EURUSD
4,362,0.0027,0.425,0.9,0.368,0.0709,False,EURUSD
5,364,0.0033,0.462,1.02,0.31,0.0821,False,EURUSD
6,362,0.0018,0.475,0.39,0.698,0.1176,False,EURUSD
7,362,-0.0018,0.472,-0.26,0.798,0.1556,False,EURUSD
8,362,0.0161,0.519,3.04,0.003,0.1484,True,EURUSD
9,360,-0.0051,0.422,-1.06,0.291,0.1309,False,EURUSD
10,361,-0.0041,0.427,-0.95,0.345,0.1189,False,EURUSD
11,360,-0.0052,0.428,-1.03,0.306,0.1266,False,EURUSD
12,360,-0.0004,0.431,-0.05,0.957,0.1685,False,EURUSD
13,360,0.009,0.522,1.22,0.225,0.1856,False,EURUSD
14,360,0.0069,0.489,0.99,0.322,0.1845,False,EURUSD
15,360,-0.0076,0.436,-1.12,0.265,0.1839,False,EURUSD
16,359,-0.011,0.426,-2.02,0.044,0.1417,True,EURUSD
17,358,0.0013,0.425,0.31,0.76,0.1188,False,EURUSD
18,359,-0.0016,0.457,-0.32,0.746,0.1117,False,EURUSD
19,360,0.0016,0.506,0.37,0.714,0.0965,False,EURUSD
20,360,0.0077,0.506,2.31,0.021,0.0855,True,EURUSD
21,361,0.0086,0.493,2.69,0.008,0.0718,True,EURUSD
22,323,0.0045,0.43,1.63,0.105,0.0687,False,EURUSD
23,324,-0.0017,0.414,-0.41,0.686,0.0748,False,EURUSD
0,362,-0.0007,0.494,-0.16,0.877,0.094,False,GBPUSD
1,363,-0.0017,0.479,-0.52,0.605,0.0939,False,GBPUSD
2,362,0.0006,0.511,0.17,0.861,0.0814,False,GBPUSD
3,362,-0.0033,0.47,-1.13,0.259,0.0746,False,GBPUSD
4,363,0.0017,0.501,0.63,0.531,0.0682,False,GBPUSD
5,363,-0.0005,0.496,-0.17,0.865,0.079,False,GBPUSD
6,362,0.002,0.53,0.43,0.665,0.1176,False,GBPUSD
7,361,-0.0042,0.493,-0.63,0.528,0.1558,False,GBPUSD
8,362,0.0085,0.528,1.55,0.122,0.1526,False,GBPUSD
9,360,0.0036,0.508,0.74,0.457,0.1339,False,GBPUSD
10,361,-0.0029,0.468,-0.65,0.516,0.1251,False,GBPUSD
11,360,-0.0017,0.492,-0.32,0.75,0.1341,False,GBPUSD
12,360,0.0076,0.508,1.07,0.283,0.167,False,GBPUSD
13,360,-0.0017,0.481,-0.23,0.817,0.1812,False,GBPUSD
14,360,0.0037,0.517,0.55,0.582,0.1818,False,GBPUSD
15,360,0.001,0.489,0.14,0.885,0.1825,False,GBPUSD
16,359,-0.0048,0.476,-0.93,0.352,0.1384,False,GBPUSD
17,358,0.0033,0.483,0.87,0.387,0.1136,False,GBPUSD
18,360,-0.0011,0.531,-0.25,0.801,0.1069,False,GBPUSD
19,360,0.0009,0.544,0.23,0.818,0.0933,False,GBPUSD
20,360,0.0063,0.561,1.93,0.054,0.08,False,GBPUSD
21,361,-0.0,0.446,-0.02,0.987,0.0732,False,GBPUSD
22,324,0.0025,0.463,0.98,0.329,0.0634,False,GBPUSD
23,325,-0.0006,0.511,-0.2,0.838,0.0686,False,GBPUSD
0,361,-0.0047,0.504,-0.54,0.587,0.2318,False,USDJPY
1,362,-0.008,0.475,-1.22,0.222,0.207,False,USDJPY
2,362,0.0051,0.533,0.93,0.353,0.163,False,USDJPY
3,362,-0.0028,0.481,-0.55,0.58,0.1443,False,USDJPY
4,362,-0.0026,0.494,-0.55,0.585,0.1414,False,USDJPY
5,362,0.0029,0.519,0.56,0.573,0.1556,False,USDJPY
6,362,0.0019,0.536,0.23,0.818,0.1926,False,USDJPY
7,361,0.0152,0.584,1.96,0.051,0.2092,False,USDJPY
8,360,-0.0052,0.489,-0.76,0.448,0.1982,False,USDJPY
9,359,0.0089,0.571,1.54,0.124,0.1708,False,USDJPY
10,360,-0.0015,0.503,-0.28,0.782,0.1457,False,USDJPY
11,361,0.0008,0.548,0.15,0.883,0.1491,False,USDJPY
12,360,0.0037,0.5,0.4,0.69,0.2187,False,USDJPY
13,360,-0.013,0.461,-1.62,0.106,0.2388,False,USDJPY
14,360,-0.0011,0.497,-0.14,0.891,0.2411,False,USDJPY
15,360,0.0078,0.519,1.11,0.268,0.2179,False,USDJPY
16,359,0.0058,0.515,0.99,0.325,0.1726,False,USDJPY
17,359,-0.002,0.496,-0.32,0.751,0.1468,False,USDJPY
18,362,0.013,0.569,2.44,0.015,0.1401,True,USDJPY
19,362,0.0042,0.508,0.98,0.327,0.1219,False,USDJPY
20,363,-0.0084,0.457,-2.1,0.036,0.1088,True,USDJPY
21,333,-0.01,0.348,-2.65,0.008,0.0976,True,USDJPY
22,301,-0.0028,0.435,-0.65,0.515,0.1078,False,USDJPY
23,324,0.0079,0.528,1.39,0.166,0.1588,False,USDJPY
0,363,-0.0132,0.463,-1.84,0.066,0.1748,False,AUDUSD
1,364,0.0081,0.519,1.22,0.223,0.1925,False,AUDUSD
2,364,0.0022,0.505,0.33,0.738,0.1682,False,AUDUSD
3,364,-0.0033,0.473,-0.53,0.598,0.1525,False,AUDUSD
4,364,0.0002,0.514,0.03,0.977,0.137,False,AUDUSD
5,364,-0.0016,0.492,-0.34,0.735,0.1382,False,AUDUSD
6,364,0.0076,0.541,1.3,0.194,0.1631,False,AUDUSD
7,364,-0.0064,0.47,-0.87,0.386,0.1842,False,AUDUSD
8,364,0.0098,0.522,1.61,0.109,0.1713,False,AUDUSD
9,364,-0.0109,0.459,-2.07,0.039,0.1484,True,AUDUSD
10,364,-0.0071,0.44,-1.27,0.205,0.1351,False,AUDUSD
11,364,0.0032,0.516,0.63,0.53,0.1397,False,AUDUSD
12,364,0.0052,0.486,0.7,0.486,0.184,False,AUDUSD
13,364,0.0002,0.511,0.02,0.983,0.2171,False,AUDUSD
14,364,0.0025,0.525,0.27,0.79,0.2342,False,AUDUSD
15,364,-0.0116,0.475,-1.33,0.185,0.221,False,AUDUSD
16,363,-0.009,0.468,-1.38,0.168,0.1672,False,AUDUSD
17,362,0.0137,0.503,1.84,0.067,0.151,False,AUDUSD
18,362,-0.003,0.517,-0.52,0.603,0.1404,False,AUDUSD
19,361,0.0055,0.543,1.07,0.286,0.1248,False,AUDUSD
20,361,0.0032,0.51,0.8,0.421,0.1096,False,AUDUSD
21,362,0.0041,0.492,1.05,0.297,0.0871,False,AUDUSD
22,328,0.0141,0.543,4.91,0.0,0.0867,True,AUDUSD
23,326,-0.009,0.472,-1.99,0.047,0.1135,True,AUDUSD
0,361,-0.0038,0.501,-0.57,0.571,0.197,False,GBPJPY
1,363,-0.0077,0.46,-1.35,0.178,0.1753,False,GBPJPY
2,362,0.0057,0.552,1.27,0.206,0.1383,False,GBPJPY
3,362,-0.005,0.483,-1.1,0.273,0.1275,False,GBPJPY
4,363,-0.0002,0.526,-0.06,0.955,0.1246,False,GBPJPY
5,362,0.0018,0.522,0.38,0.705,0.1375,False,GBPJPY
6,362,0.0016,0.572,0.18,0.853,0.1823,False,GBPJPY
7,362,0.0088,0.564,1.17,0.245,0.2139,False,GBPJPY
8,362,0.0038,0.528,0.52,0.603,0.2135,False,GBPJPY
9,360,0.0111,0.603,1.74,0.082,0.1863,False,GBPJPY
10,361,-0.0076,0.49,-1.39,0.166,0.1594,False,GBPJPY
11,361,-0.0017,0.51,-0.27,0.787,0.1659,False,GBPJPY
12,360,0.0097,0.539,1.4,0.164,0.1991,False,GBPJPY
13,360,-0.0146,0.467,-1.96,0.051,0.2164,False,GBPJPY
14,360,0.0053,0.525,0.66,0.507,0.2383,False,GBPJPY
15,360,0.0082,0.531,1.09,0.276,0.2173,False,GBPJPY
16,359,0.0019,0.493,0.32,0.752,0.1727,False,GBPJPY
17,358,0.0018,0.478,0.26,0.796,0.1491,False,GBPJPY
18,361,0.0116,0.576,2.32,0.021,0.1341,True,GBPJPY
19,361,0.0035,0.532,0.9,0.369,0.1164,False,GBPJPY
20,361,-0.0085,0.452,-2.31,0.022,0.1141,True,GBPJPY
21,362,-0.0106,0.345,-2.89,0.004,0.123,True,GBPJPY
22,325,0.0058,0.471,1.66,0.099,0.1246,False,GBPJPY
23,323,0.0122,0.576,2.57,0.011,0.1421,True,GBPJPY
0,292,0.0214,0.527,1.46,0.146,0.3995,False,GOLD
1,292,0.0341,0.51,1.56,0.119,0.5255,False,GOLD
2,292,-0.0148,0.51,-0.8,0.424,0.4192,False,GOLD
3,292,0.0151,0.531,1.3,0.193,0.3339,False,GOLD
4,295,0.0164,0.498,1.57,0.118,0.2674,False,GOLD
5,296,-0.0063,0.524,-0.41,0.684,0.3825,False,GOLD
6,296,0.0171,0.547,1.22,0.225,0.3897,False,GOLD
7,297,0.0165,0.519,1.03,0.304,0.4025,False,GOLD
8,297,0.0222,0.596,1.44,0.151,0.4315,False,GOLD
9,297,-0.0016,0.488,-0.11,0.913,0.3956,False,GOLD
10,297,-0.0022,0.475,-0.15,0.879,0.3746,False,GOLD
11,297,0.0286,0.556,2.33,0.021,0.3827,True,GOLD
12,297,0.0102,0.545,0.57,0.567,0.4905,False,GOLD
13,298,-0.0086,0.517,-0.4,0.689,0.624,False,GOLD
14,301,0.0323,0.558,1.42,0.156,0.6508,False,GOLD
15,301,-0.0163,0.528,-0.62,0.538,0.5736,False,GOLD
16,300,0.0362,0.573,2.0,0.046,0.4775,True,GOLD
17,297,0.0007,0.488,0.05,0.959,0.3803,False,GOLD
18,295,-0.0053,0.519,-0.42,0.674,0.3435,False,GOLD
19,293,0.0053,0.505,0.38,0.706,0.3496,False,GOLD
20,293,0.0355,0.519,2.3,0.022,0.3241,True,GOLD
21,131,0.0196,0.527,1.1,0.275,0.3175,False,GOLD
22,163,0.0041,0.546,0.19,0.849,0.4257,False,GOLD
23,290,0.0255,0.528,1.44,0.152,0.3763,False,GOLD
0,282,-0.0076,0.45,-0.31,0.76,0.3883,False,OIL
1,284,0.0064,0.496,0.34,0.734,0.4563,False,OIL
2,283,0.004,0.519,0.23,0.819,0.3718,False,OIL
3,282,-0.0034,0.486,-0.25,0.802,0.3027,False,OIL
4,284,0.0098,0.482,1.09,0.278,0.2527,False,OIL
5,287,0.016,0.495,1.12,0.263,0.3371,False,OIL
6,284,0.0061,0.546,0.33,0.74,0.4393,False,OIL
7,291,-0.0524,0.395,-2.21,0.028,0.5651,True,OIL
8,295,-0.0332,0.461,-1.25,0.213,0.6858,False,OIL
9,297,0.0365,0.552,1.43,0.153,0.6502,False,OIL
10,297,0.0435,0.545,1.64,0.102,0.618,False,OIL
11,297,0.0156,0.542,0.6,0.55,0.6104,False,OIL
12,297,-0.006,0.505,-0.25,0.801,0.6392,False,OIL
13,298,-0.0468,0.46,-1.37,0.17,0.8709,False,OIL
14,301,-0.0279,0.508,-0.78,0.437,0.9635,False,OIL
15,301,-0.0031,0.498,-0.09,0.928,0.9262,False,OIL
16,300,-0.0071,0.517,-0.26,0.797,0.7511,False,OIL
17,297,0.0388,0.508,0.99,0.324,0.6856,False,OIL
18,295,0.0064,0.481,0.27,0.788,0.6303,False,OIL
19,288,-0.0059,0.483,-0.3,0.762,0.4977,False,OIL
20,286,-0.016,0.483,-0.81,0.421,0.3898,False,OIL
21,127,0.0624,0.646,3.04,0.003,0.3247,True,OIL
22,158,-0.0942,0.386,-2.03,0.044,0.5829,True,OIL
23,281,-0.0084,0.406,-0.53,0.595,0.3309,False,OIL
0,364,-0.0273,0.486,-1.03,0.302,0.5787,False,BTC
1,364,0.0249,0.503,0.92,0.359,0.5833,False,BTC
2,364,0.0036,0.519,0.16,0.87,0.5239,False,BTC
3,363,-0.0029,0.471,-0.15,0.879,0.4453,False,BTC
4,363,0.0121,0.523,0.65,0.513,0.4267,False,BTC
5,363,-0.0067,0.477,-0.36,0.717,0.3904,False,BTC
6,363,-0.0301,0.504,-1.51,0.133,0.4199,False,BTC
7,363,-0.0132,0.485,-0.66,0.511,0.4447,False,BTC
8,363,0.0246,0.523,1.39,0.167,0.4408,False,BTC
9,363,0.0107,0.515,0.56,0.579,0.4404,False,BTC
10,363,-0.0078,0.479,-0.45,0.655,0.4011,False,BTC
11,363,0.0156,0.507,0.88,0.382,0.4094,False,BTC
12,363,-0.0203,0.485,-1.07,0.284,0.4705,False,BTC
13,363,-0.027,0.466,-0.96,0.338,0.6621,False,BTC
14,364,-0.0415,0.495,-1.12,0.264,0.901,False,BTC
15,364,-0.0142,0.503,-0.38,0.706,0.8143,False,BTC
16,364,-0.0291,0.475,-0.92,0.358,0.7092,False,BTC
17,363,0.0188,0.537,0.54,0.588,0.6877,False,BTC
18,363,-0.0249,0.501,-0.89,0.376,0.6278,False,BTC
19,364,0.0015,0.481,0.06,0.954,0.5793,False,BTC
20,364,0.0053,0.519,0.23,0.821,0.5727,False,BTC
21,364,0.0424,0.538,2.01,0.046,0.5394,True,BTC
22,364,0.0489,0.544,2.06,0.04,0.519,True,BTC
23,363,-0.0368,0.457,-1.94,0.053,0.4664,False,BTC
